model,results
codeqwen-chat,"go,java,rb"
codellama-34b,sql
codestral-22b,"cs,go"
codestral-22b-v0.1-q5_0,sql
cogito-14b,java
cogito-32b-v1-preview-qwen-fp16,"go,java,sql"
devstral-24b-small-2505-q8_0,java
devstral-24b-small-2505-fp16,java
deepseek-r1-32b-qwen-distill-fp16,java
deepseek-r1-70b-llama-distill-q8_0,"go,java,sql"
dolphin3-8b-llama3.1-q8_0,"java,py"
dolphin3-8b-llama3.1-fp16,cs
nhn-small-latest,"java,json"
nhn-medium-latest,"java,sql"
nhn-large-latest,"java,sql"
nhn-small-og,"cs,css,go,java,kt,py,rb,sh,ts,xml,yml"
nhn-small-v2,"java,py,sql"
hermes3-8b,"go,java"
hermes3-70b,"cs,java"
hermes3-70b-llama3.1-fp16,"cs,java"
gemma3-27b,"java,sql"
qwen2.5-coder-32b-instruct-fp16,"java,sql"
qwen3-1.7b-fp16,"cpp,cs,go,java"
mistral-small-24b-instruct-2501-fp16,"java,sql"
mixtral-v0.1,"cs,go,java,py"
mixtral-8x7b-instruct-v0.1-q8_0,"java,js,py"
magistral-24b-small-2506-q8_0,"cs,go,java,sql"
magistral-24b-small-2506-fp16,"cs,go,sql"
qwen3-1.7b-q8_0,"cpp,go,java"
qwen3-30b-a3b-fp16,"cs,java"
qwen3-32b-fp16,"go,java,sql"
mixtral-8x7b,java
hermes3-70b-llama3.1-q8_0,java
cogito-70b-v1-preview-llama-q8_0,"go,java,sql"
cogito-32b,"cs,go,java,sql"
cogito-70b,"cpp,cs,java,sql"
qwen3-coder-30b-a3b-q8_0,"cs,java,sql"
qwen3-coder-30b-a3b-q4_K_M,"cs,java,sql"
